Product,UserFriendly,PayRollAcrualsNotMatching,PerfectAttendance,CustomExceptions,ConsecutiveOccurance,UnifiedPlatform,GT400
Perform,1,1,0,0,0,1,0
Perform,1,1,0,0,0,1,0
Perform,1,1,1,0,0,1,0
Perform,1,1,1,0,0,1,0
Perform,1,1,1,0,0,1,0
Perform,1,1,1,0,0,1,0
Perform,1,1,0,1,1,1,0
Perform,1,1,0,0,1,1,0
Perform,1,1,0,0,1,1,0
Perform,1,1,0,0,1,1,0
Perform,1,1,0,0,1,1,0
Perform,1,1,0,0,0,1,1
Perform,1,1,0,0,0,1,1
Perform,1,1,0,0,0,1,1
Perform,1,1,0,1,0,1,1
Perform,1,1,0,1,0,1,1
Perform,1,1,0,1,0,1,1
Perform,1,1,0,1,0,1,1
Perform,1,1,0,1,0,1,1
Perform,1,1,0,0,0,1,0
Perform,1,1,0,0,0,1,0
Perform,1,1,0,0,0,1,0
Perform,1,1,0,0,0,1,0
Perform,1,1,0,0,0,1,0
Perform,1,1,1,0,0,1,1
Perform,1,1,1,0,0,1,1
Perform,1,1,0,0,0,1,0
Perform,1,1,0,0,0,1,0
Perform,1,1,0,0,0,1,0
TOD,0,0,1,1,1,0,1
TOD,0,0,1,1,1,0,1
TOD,0,0,1,1,1,0,1
TOD,0,0,1,1,1,0,1
TOD,0,0,1,1,1,0,1
TOD,1,0,1,1,0,0,1
TOD,1,0,1,1,0,0,1
TOD,1,0,1,1,0,0,1
TOD,1,0,0,1,1,0,1
TOD,1,0,0,1,1,0,1
TOD,1,0,0,1,1,0,1
TOD,0,0,0,1,1,1,1
TOD,0,1,1,0,1,1,1
TOD,0,1,1,1,1,1,1
TOD,0,1,1,1,1,0,1
TOD,0,1,1,0,1,0,1
TOD,0,0,1,0,1,0,1
TOD,0,0,1,0,1,0,1
TOD,0,0,1,1,1,0,1
TOD,0,0,1,1,1,0,1
